City,Year,Population
atlanta,2014,5455053
atlanta,2015,5535837
atlanta,2016,5612777
atlanta,2017,5700990
atlanta,2018,5758740
boston,2014,4650876
boston,2015,4694565
boston,2016,4728844
boston,2017,4771936
boston,2018,4804186
chicago,2014,9516448
chicago,2015,9434008
chicago,2016,9528396
chicago,2017,9549229
chicago,2018,9560156
denver,2014,2651392
denver,2015,2703972
denver,2016,2752056
denver,2017,2798684
denver,2018,2842140
los_angeles,2014,9974203
los_angeles,2015,10038388
los_angeles,2016,10057155
los_angeles,2017,10105722
los_angeles,2018,10145775
