city,MapWeather,time,Count
atlanta,Clear,0,527
atlanta,Clear,1,614
atlanta,Clear,2,674
atlanta,Clear,3,719
atlanta,Clear,4,885
atlanta,Clear,5,958
atlanta,Clear,6,933
atlanta,Clear,7,937
atlanta,Clear,8,920
atlanta,Clear,9,908
atlanta,Clear,10,897
atlanta,Clear,11,674
atlanta,Clear,12,558
atlanta,Clear,13,537
atlanta,Clear,14,534
atlanta,Clear,15,528
atlanta,Clear,16,476
atlanta,Clear,17,424
atlanta,Clear,18,389
atlanta,Clear,19,375
atlanta,Clear,20,366
atlanta,Clear,21,384
atlanta,Clear,22,393
atlanta,Clear,23,434
atlanta,Mostly Cloudy,0,265
atlanta,Mostly Cloudy,1,253
atlanta,Mostly Cloudy,2,245
atlanta,Mostly Cloudy,3,227
atlanta,Mostly Cloudy,4,186
atlanta,Mostly Cloudy,5,167
atlanta,Mostly Cloudy,6,176
atlanta,Mostly Cloudy,7,162
atlanta,Mostly Cloudy,8,178
atlanta,Mostly Cloudy,9,170
atlanta,Mostly Cloudy,10,159
atlanta,Mostly Cloudy,11,208
atlanta,Mostly Cloudy,12,273
atlanta,Mostly Cloudy,13,261
atlanta,Mostly Cloudy,14,273
atlanta,Mostly Cloudy,15,288
atlanta,Mostly Cloudy,16,372
atlanta,Mostly Cloudy,17,506
atlanta,Mostly Cloudy,18,589
atlanta,Mostly Cloudy,19,602
atlanta,Mostly Cloudy,20,588
atlanta,Mostly Cloudy,21,479
atlanta,Mostly Cloudy,22,405
atlanta,Mostly Cloudy,23,354
atlanta,Overcast,0,225
atlanta,Overcast,1,223
atlanta,Overcast,2,222
atlanta,Overcast,3,218
atlanta,Overcast,4,218
atlanta,Overcast,5,225
atlanta,Overcast,6,256
atlanta,Overcast,7,253
atlanta,Overcast,8,263
atlanta,Overcast,9,278
atlanta,Overcast,10,302
atlanta,Overcast,11,292
atlanta,Overcast,12,282
atlanta,Overcast,13,307
atlanta,Overcast,14,304
atlanta,Overcast,15,315
atlanta,Overcast,16,287
atlanta,Overcast,17,269
atlanta,Overcast,18,242
atlanta,Overcast,19,217
atlanta,Overcast,20,192
atlanta,Overcast,21,206
atlanta,Overcast,22,201
atlanta,Overcast,23,202
atlanta,Partly Cloudy,0,621
atlanta,Partly Cloudy,1,521
atlanta,Partly Cloudy,2,474
atlanta,Partly Cloudy,3,444
atlanta,Partly Cloudy,4,300
atlanta,Partly Cloudy,5,226
atlanta,Partly Cloudy,6,224
atlanta,Partly Cloudy,7,213
atlanta,Partly Cloudy,8,194
atlanta,Partly Cloudy,9,205
atlanta,Partly Cloudy,10,206
atlanta,Partly Cloudy,11,390
atlanta,Partly Cloudy,12,449
atlanta,Partly Cloudy,13,466
atlanta,Partly Cloudy,14,452
atlanta,Partly Cloudy,15,473
atlanta,Partly Cloudy,16,505
atlanta,Partly Cloudy,17,464
atlanta,Partly Cloudy,18,444
atlanta,Partly Cloudy,19,457
atlanta,Partly Cloudy,20,492
atlanta,Partly Cloudy,21,568
atlanta,Partly Cloudy,22,627
atlanta,Partly Cloudy,23,641
atlanta,Rain,0,182
atlanta,Rain,1,208
atlanta,Rain,2,204
atlanta,Rain,3,211
atlanta,Rain,4,231
atlanta,Rain,5,244
atlanta,Rain,6,231
atlanta,Rain,7,253
atlanta,Rain,8,264
atlanta,Rain,9,257
atlanta,Rain,10,255
atlanta,Rain,11,256
atlanta,Rain,12,258
atlanta,Rain,13,248
atlanta,Rain,14,257
atlanta,Rain,15,213
atlanta,Rain,16,176
atlanta,Rain,17,152
atlanta,Rain,18,154
atlanta,Rain,19,169
atlanta,Rain,20,182
atlanta,Rain,21,181
atlanta,Rain,22,194
atlanta,Rain,23,187
atlanta,Snow,0,1
atlanta,Snow,1,2
atlanta,Snow,2,2
atlanta,Snow,3,1
atlanta,Snow,4,1
atlanta,Snow,5,1
atlanta,Snow,6,1
atlanta,Snow,7,3
atlanta,Snow,8,1
atlanta,Snow,9,2
atlanta,Snow,10,1
atlanta,Snow,11,1
atlanta,Snow,12,1
atlanta,Snow,13,2
atlanta,Snow,14,1
atlanta,Snow,15,3
atlanta,Snow,16,2
atlanta,Snow,17,3
atlanta,Snow,18,3
atlanta,Snow,19,1
atlanta,Snow,20,1
atlanta,Snow,21,2
atlanta,Snow,22,1
atlanta,Snow,23,3
boston,Clear,0,720
boston,Clear,1,820
boston,Clear,2,818
boston,Clear,3,831
boston,Clear,4,851
boston,Clear,5,858
boston,Clear,6,852
boston,Clear,7,851
boston,Clear,8,860
boston,Clear,9,832
boston,Clear,10,805
boston,Clear,11,727
boston,Clear,12,677
boston,Clear,13,676
boston,Clear,14,670
boston,Clear,15,647
boston,Clear,16,567
boston,Clear,17,501
boston,Clear,18,464
boston,Clear,19,461
boston,Clear,20,498
boston,Clear,21,517
boston,Clear,22,585
boston,Clear,23,654
boston,Mostly Cloudy,0,213
boston,Mostly Cloudy,1,214
boston,Mostly Cloudy,2,196
boston,Mostly Cloudy,3,207
boston,Mostly Cloudy,4,205
boston,Mostly Cloudy,5,186
boston,Mostly Cloudy,6,200
boston,Mostly Cloudy,7,206
boston,Mostly Cloudy,8,194
boston,Mostly Cloudy,9,205
boston,Mostly Cloudy,10,207
boston,Mostly Cloudy,11,236
boston,Mostly Cloudy,12,241
boston,Mostly Cloudy,13,240
boston,Mostly Cloudy,14,262
boston,Mostly Cloudy,15,266
boston,Mostly Cloudy,16,301
boston,Mostly Cloudy,17,302
boston,Mostly Cloudy,18,353
boston,Mostly Cloudy,19,376
boston,Mostly Cloudy,20,362
boston,Mostly Cloudy,21,327
boston,Mostly Cloudy,22,284
boston,Mostly Cloudy,23,253
boston,Overcast,0,314
boston,Overcast,1,312
boston,Overcast,2,325
boston,Overcast,3,331
boston,Overcast,4,336
boston,Overcast,5,365
boston,Overcast,6,373
boston,Overcast,7,380
boston,Overcast,8,389
boston,Overcast,9,399
boston,Overcast,10,388
boston,Overcast,11,382
boston,Overcast,12,396
boston,Overcast,13,395
boston,Overcast,14,379
boston,Overcast,15,350
boston,Overcast,16,349
boston,Overcast,17,360
boston,Overcast,18,332
boston,Overcast,19,316
boston,Overcast,20,295
boston,Overcast,21,315
boston,Overcast,22,319
boston,Overcast,23,313
boston,Partly Cloudy,0,356
boston,Partly Cloudy,1,249
boston,Partly Cloudy,2,263
boston,Partly Cloudy,3,249
boston,Partly Cloudy,4,233
boston,Partly Cloudy,5,213
boston,Partly Cloudy,6,199
boston,Partly Cloudy,7,180
boston,Partly Cloudy,8,172
boston,Partly Cloudy,9,178
boston,Partly Cloudy,10,203
boston,Partly Cloudy,11,245
boston,Partly Cloudy,12,290
boston,Partly Cloudy,13,278
boston,Partly Cloudy,14,290
boston,Partly Cloudy,15,325
boston,Partly Cloudy,16,369
boston,Partly Cloudy,17,417
boston,Partly Cloudy,18,426
boston,Partly Cloudy,19,413
boston,Partly Cloudy,20,419
boston,Partly Cloudy,21,431
boston,Partly Cloudy,22,402
boston,Partly Cloudy,23,373
boston,Rain,0,211
boston,Rain,1,221
boston,Rain,2,209
boston,Rain,3,192
boston,Rain,4,188
boston,Rain,5,190
boston,Rain,6,190
boston,Rain,7,196
boston,Rain,8,196
boston,Rain,9,197
boston,Rain,10,209
boston,Rain,11,220
boston,Rain,12,207
boston,Rain,13,220
boston,Rain,14,210
boston,Rain,15,221
boston,Rain,16,217
boston,Rain,17,218
boston,Rain,18,218
boston,Rain,19,228
boston,Rain,20,221
boston,Rain,21,207
boston,Rain,22,212
boston,Rain,23,213
boston,Snow,0,6
boston,Snow,1,5
boston,Snow,2,10
boston,Snow,3,11
boston,Snow,4,8
boston,Snow,5,9
boston,Snow,6,7
boston,Snow,7,8
boston,Snow,8,9
boston,Snow,9,9
boston,Snow,10,7
boston,Snow,11,11
boston,Snow,12,10
