,ids,labels,parents,values
0,Weather-Atlanta,Atlanta,,141625
1,Weather-Boston,Boston,,329762
2,Weather-Denver,Denver,,446283
3,Weather-Chicago,Chicago,,864007
4,Weather-Los Angeles,Los Angeles,,1090415
5,Atlanta-Partly Cloudy,Partly Cloudy,Weather-Atlanta,33083
6,Atlanta-Possible Drizzle,Possible Drizzle,Weather-Atlanta,3347
7,Atlanta-Mostly Cloudy,Mostly Cloudy,Weather-Atlanta,23352
8,Atlanta-Overcast,Overcast,Weather-Atlanta,18632
9,Atlanta-Clear,Clear,Weather-Atlanta,42811
10,Atlanta-Light Rain,Light Rain,Weather-Atlanta,3798
11,Atlanta-Drizzle,Drizzle,Weather-Atlanta,1728
12,Atlanta-Foggy,Foggy,Weather-Atlanta,2742
13,Atlanta-Rain,Rain,Weather-Atlanta,1238
14,Atlanta-Possible Light Rain,Possible Light Rain,Weather-Atlanta,614
15,Atlanta-Humid and Partly Cloudy,Humid and Partly Cloudy,Weather-Atlanta,3187
16,Atlanta-Possible Drizzle and Humid,Possible Drizzle and Humid,Weather-Atlanta,424
17,Atlanta-Humid and Mostly Cloudy,Humid and Mostly Cloudy,Weather-Atlanta,4012
18,Atlanta-Humid and Overcast,Humid and Overcast,Weather-Atlanta,798
19,Atlanta-Humid,Humid,Weather-Atlanta,1114
20,Atlanta-Light Rain and Humid,Light Rain and Humid,Weather-Atlanta,207
21,Atlanta-Possible Light Rain and Humid,Possible Light Rain and Humid,Weather-Atlanta,198
22,Atlanta-Rain and Humid,Rain and Humid,Weather-Atlanta,61
23,Atlanta-Possible Light Sleet,Possible Light Sleet,Weather-Atlanta,11
24,Atlanta-Humid and Foggy,Humid and Foggy,Weather-Atlanta,93
25,Atlanta-Possible Flurries,Possible Flurries,Weather-Atlanta,47
26,Atlanta-Heavy Rain,Heavy Rain,Weather-Atlanta,25
27,Atlanta-Drizzle and Humid,Drizzle and Humid,Weather-Atlanta,53
28,Atlanta-Light Snow,Light Snow,Weather-Atlanta,28
29,Atlanta-Light Sleet,Light Sleet,Weather-Atlanta,19
30,Atlanta-Possible Light Snow,Possible Light Snow,Weather-Atlanta,3
31,Partly Cloudy-Auto-Theft,Auto-Theft,Atlanta-Partly Cloudy,4456
32,Partly Cloudy-Robbery,Robbery,Atlanta-Partly Cloudy,2291
33,Partly Cloudy-Violence,Violence,Atlanta-Partly Cloudy,2636
34,Partly Cloudy-Burglary,Burglary,Atlanta-Partly Cloudy,23569
35,Partly Cloudy-Killing,Killing,Atlanta-Partly Cloudy,131
36,Possible Drizzle-Auto-Theft,Auto-Theft,Atlanta-Possible Drizzle,436
37,Possible Drizzle-Robbery,Robbery,Atlanta-Possible Drizzle,219
38,Possible Drizzle-Violence,Violence,Atlanta-Possible Drizzle,222
39,Possible Drizzle-Burglary,Burglary,Atlanta-Possible Drizzle,2462
40,Possible Drizzle-Killing,Killing,Atlanta-Possible Drizzle,8
41,Mostly Cloudy-Auto-Theft,Auto-Theft,Atlanta-Mostly Cloudy,3275
42,Mostly Cloudy-Robbery,Robbery,Atlanta-Mostly Cloudy,1372
